titles,links
"Periodontitis: facts, fallacies and the future.",https://pubmed.ncbi.nlm.nih.gov/28758294/
Lifestyle and periodontitis: The emergence of personalized periodontics.,https://pubmed.ncbi.nlm.nih.gov/30198129/
Periodontal disease and its impact on general health in Latin America. Section V: Treatment of periodontitis.,https://pubmed.ncbi.nlm.nih.gov/32294679/
Scaling and root planing vs. conservative surgery in the treatment of chronic periodontitis.,https://pubmed.ncbi.nlm.nih.gov/27045434/
Orthodontic treatment in patients with aggressive periodontitis.,https://pubmed.ncbi.nlm.nih.gov/29602347/
Orthodontic-periodontic treatment for periodontitis.,https://pubmed.ncbi.nlm.nih.gov/29853229/
Lasers and the treatment of periodontitis: the essence and the noise.,https://pubmed.ncbi.nlm.nih.gov/28758295/
Antimicrobial therapy in periodontitis: the use of systemic antimicrobials against the subgingival biofilm.,https://pubmed.ncbi.nlm.nih.gov/18724841/
Efficacy of Local Antimicrobials in the Non-Surgical Treatment of Patients With Periodontitis and Diabetes: A Systematic Review.,https://pubmed.ncbi.nlm.nih.gov/27468792/
Clinical evaluation of ultrasonic subgingival debridement versus ultrasonic subgingival scaling combined with manual root planing in the treatment of periodontitis: study protocol for a randomized controlled trial.,https://pubmed.ncbi.nlm.nih.gov/31992331/
"Life-threatening pathogens in severe/progressive periodontitis: Focal infection risk, future periodontal practice, role of the Periodontology 2000.",https://pubmed.ncbi.nlm.nih.gov/32844419/
A systematic review of the effect of surgical debridement vs non-surgical debridement for the treatment of chronic periodontitis.,https://pubmed.ncbi.nlm.nih.gov/12787211/
Efficacy of omega 3 fatty acid as an adjunct in the management of chronic periodontitis: A randomized controlled trial.,https://pubmed.ncbi.nlm.nih.gov/32436902/
Focal infection of periodontal origin.,https://pubmed.ncbi.nlm.nih.gov/30892771/
A systematic review on the effect of systemic antimicrobials as an adjunct to scaling and root planing in periodontitis patients.,https://pubmed.ncbi.nlm.nih.gov/12787214/
The orthodontic-periodontic interrelationship in integrated treatment challenges: a systematic review.,https://pubmed.ncbi.nlm.nih.gov/20202098/
Presentation of Localized Aggressive Periodontitis in Monozygotic Twins: Case Report.,https://pubmed.ncbi.nlm.nih.gov/31490033/
Periodontitis phenotypes and clinical response patterns to non-surgical periodontal therapy: reflections on the new periodontitis classification.,https://pubmed.ncbi.nlm.nih.gov/31995259/
Interdisciplinary treatment of a patient with multiple missing teeth and periodontitis.,https://pubmed.ncbi.nlm.nih.gov/29407506/
"The effect of low-level laser therapy as an adjunct to non-surgical periodontal treatment on gingival crevicular fluid levels of transforming growth factor-beta 1, tissue plasminogen activator and plasminogen activator inhibitor 1 in smoking and non-smoking chronic periodontitis patients: A split-mouth, randomized control study.",https://pubmed.ncbi.nlm.nih.gov/28394081/
Adjunctive Effect of Doxycycline with Conventional Periodontal Therapy on Glycemic Level for Chronic Periodontitis with Type 2 Diabetes Mellitus Subjects.,https://pubmed.ncbi.nlm.nih.gov/32381843/
The effectiveness of low-level laser therapy as an adjunct to non-surgical periodontal treatment: a meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/26932392/
Nonsurgical treatment of periodontitis.,https://pubmed.ncbi.nlm.nih.gov/23040340/
Complement split product C3c in saliva as biomarker for periodontitis and response to periodontal treatment.,https://pubmed.ncbi.nlm.nih.gov/32681659/
Effect of Nonsurgical Periodontal Therapy on Serum Level of Interleukin-6 and Tumor Necrosis Factor-alpha in Chronic Periodontitis Patients with and without Hypothyroidism.,https://pubmed.ncbi.nlm.nih.gov/32584278/
